timestamp_utc,attack_uid,attack_id,mitre_ics,component,event_type,source
2026-05-02T19:48:47Z,D-T0809-13,T0809,T0809,,,wazuh_localfile_json
2026-05-02T19:48:55Z,D-T0814-13,T0814,T0814,,,wazuh_localfile_json
2026-05-02T19:49:02Z,D-T0860-13,T0860,T0860,,,wazuh_localfile_json
2026-05-02T19:49:15Z,D-T0809-14,T0809,T0809,,,wazuh_localfile_json
2026-05-02T19:49:23Z,D-T0814-14,T0814,T0814,,,wazuh_localfile_json
2026-05-02T19:49:29Z,D-T0860-14,T0860,T0860,,,wazuh_localfile_json
2026-05-02T19:49:42Z,D-T0809-15,T0809,T0809,,,wazuh_localfile_json
2026-05-02T19:49:48Z,D-T0814-15,T0814,T0814,,,wazuh_localfile_json
2026-05-02T19:49:56Z,D-T0860-15,T0860,T0860,,,wazuh_localfile_json
2026-05-02T19:50:09Z,D-T0809-16,T0809,T0809,,,wazuh_localfile_json
2026-05-02T19:50:17Z,D-T0814-16,T0814,T0814,,,wazuh_localfile_json
2026-05-02T19:50:24Z,D-T0860-16,T0860,T0860,,,wazuh_localfile_json
2026-05-02T19:50:38Z,D-T0809-17,T0809,T0809,,,wazuh_localfile_json
2026-05-02T19:50:45Z,D-T0814-17,T0814,T0814,,,wazuh_localfile_json
2026-05-02T19:50:51Z,D-T0860-17,T0860,T0860,,,wazuh_localfile_json
2026-05-02T19:51:05Z,D-T0809-18,T0809,T0809,,,wazuh_localfile_json
2026-05-02T19:51:12Z,D-T0814-18,T0814,T0814,,,wazuh_localfile_json
2026-05-02T19:51:18Z,D-T0860-18,T0860,T0860,,,wazuh_localfile_json
2026-05-02T19:51:31Z,D-T0809-19,T0809,T0809,,,wazuh_localfile_json
2026-05-02T19:51:39Z,D-T0814-19,T0814,T0814,,,wazuh_localfile_json
2026-05-02T19:51:47Z,D-T0860-19,T0860,T0860,,,wazuh_localfile_json
2026-05-02T19:52:01Z,D-T0809-20,T0809,T0809,,,wazuh_localfile_json
2026-05-02T19:52:09Z,D-T0814-20,T0814,T0814,,,wazuh_localfile_json
2026-05-02T19:52:16Z,D-T0860-20,T0860,T0860,,,wazuh_localfile_json
