attack_uid,target_host,host,item,key,itemid,value_type,samples,min_value,avg_value,max_value,last_value,first_clock,last_clock,first_utc,last_utc,source
D-T0814-15,telemetry-api,vulnerable-app,vulnerable-app latency seconds,"net.tcp.service.perf[http,10.10.0.154,8080]",50745,0,80,0.0001,0.000171,0.0002732276916503906,0.0001659393310546875,1777751270,1777751665,2026-05-02T19:47:50Z,2026-05-02T19:54:25Z,history.get
D-T0860-15,vulnerable-app,health-app,health-app availability,"net.tcp.service[http,10.10.0.152,8080]",50740,3,78,1.0,1.0,1.0,1.0,1777751280,1777751665,2026-05-02T19:48:00Z,2026-05-02T19:54:25Z,history.get
D-T0860-15,vulnerable-app,health-app,health-app latency seconds,"net.tcp.service.perf[http,10.10.0.152,8080]",50741,0,79,0.00012183189392089844,0.0002,0.00034308433532714844,0.00014472007751464844,1777751276,1777751666,2026-05-02T19:47:56Z,2026-05-02T19:54:26Z,history.get
D-T0860-15,vulnerable-app,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,78,1.0,1.0,1.0,1.0,1777751278,1777751663,2026-05-02T19:47:58Z,2026-05-02T19:54:23Z,history.get
D-T0860-15,vulnerable-app,mqtt-broker,mqtt-broker latency seconds,"net.tcp.service.perf[tcp,10.10.0.151,1883]",50739,0,78,0.0001,0.000166,0.0003273487091064453,0.00012993812561035156,1777751279,1777751664,2026-05-02T19:47:59Z,2026-05-02T19:54:24Z,history.get
D-T0860-15,vulnerable-app,telemetry-api,telemetry-api availability,"net.tcp.service[http,10.10.0.153,8080]",50742,3,78,1.0,1.0,1.0,1.0,1777751277,1777751662,2026-05-02T19:47:57Z,2026-05-02T19:54:22Z,history.get
D-T0860-15,vulnerable-app,telemetry-api,telemetry-api latency seconds,"net.tcp.service.perf[http,10.10.0.153,8080]",50743,0,78,0.0001,0.00016,0.0003979206085205078,0.0001385211944580078,1777751278,1777751663,2026-05-02T19:47:58Z,2026-05-02T19:54:23Z,history.get
D-T0860-15,vulnerable-app,vulnerable-app,vulnerable-app availability,"net.tcp.service[http,10.10.0.154,8080]",50744,3,78,1.0,1.0,1.0,1.0,1777751279,1777751664,2026-05-02T19:47:59Z,2026-05-02T19:54:24Z,history.get
D-T0860-15,vulnerable-app,vulnerable-app,vulnerable-app latency seconds,"net.tcp.service.perf[http,10.10.0.154,8080]",50745,0,78,0.0001,0.000171,0.0002732276916503906,0.0001659393310546875,1777751280,1777751665,2026-05-02T19:48:00Z,2026-05-02T19:54:25Z,history.get
D-T0809-16,mqtt-broker,health-app,health-app availability,"net.tcp.service[http,10.10.0.152,8080]",50740,3,76,1.0,1.0,1.0,1.0,1777751290,1777751665,2026-05-02T19:48:10Z,2026-05-02T19:54:25Z,history.get
D-T0809-16,mqtt-broker,health-app,health-app latency seconds,"net.tcp.service.perf[http,10.10.0.152,8080]",50741,0,76,0.00012183189392089844,0.000202,0.00034308433532714844,0.00014472007751464844,1777751291,1777751666,2026-05-02T19:48:11Z,2026-05-02T19:54:26Z,history.get
D-T0809-16,mqtt-broker,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,75,1.0,1.0,1.0,1.0,1777751293,1777751663,2026-05-02T19:48:13Z,2026-05-02T19:54:23Z,history.get
D-T0809-16,mqtt-broker,mqtt-broker,mqtt-broker latency seconds,"net.tcp.service.perf[tcp,10.10.0.151,1883]",50739,0,76,0.0001,0.000166,0.0003273487091064453,0.00012993812561035156,1777751289,1777751664,2026-05-02T19:48:09Z,2026-05-02T19:54:24Z,history.get
D-T0809-16,mqtt-broker,telemetry-api,telemetry-api availability,"net.tcp.service[http,10.10.0.153,8080]",50742,3,76,1.0,1.0,1.0,1.0,1777751292,1777751667,2026-05-02T19:48:12Z,2026-05-02T19:54:27Z,history.get
D-T0809-16,mqtt-broker,telemetry-api,telemetry-api latency seconds,"net.tcp.service.perf[http,10.10.0.153,8080]",50743,0,75,0.0001,0.000159,0.0003979206085205078,0.0001385211944580078,1777751293,1777751663,2026-05-02T19:48:13Z,2026-05-02T19:54:23Z,history.get
