timestamp_utc,scenario_id,execution_id,iteration,attack_id,technique_id,source,target,event_type,severity,metric_name,metric_value,unit,zabbix_itemid,zabbix_event_id,wazuh_alert_id,correlation_window_seconds,dataset_source,raw_file,raw_row_hash
2026-05-02T19:46:28Z,SCENARIO_D,D-T0814-8,8,T0814,T0814,wazuh_localfile_json,telemetry-api,Data Manipulation,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,92ff95c0cb61e28a
2026-05-02T19:46:35Z,SCENARIO_D,D-T0860-8,8,T0860,T0860,wazuh_localfile_json,vulnerable-app,Denial of Service,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,08b2f6521afd96be
2026-05-02T19:46:49Z,SCENARIO_D,D-T0809-9,9,T0809,T0809,wazuh_localfile_json,mosquitto,Unauthorized Command Message,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,4100e8ea905cceb8
2026-05-02T19:46:56Z,SCENARIO_D,D-T0814-9,9,T0814,T0814,wazuh_localfile_json,telemetry-api,Data Manipulation,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,d10c24e3ed93c5d4
2026-05-02T19:47:03Z,SCENARIO_D,D-T0860-9,9,T0860,T0860,wazuh_localfile_json,vulnerable-app,Denial of Service,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,5cb5ddf814a572d7
2026-05-02T19:47:16Z,SCENARIO_D,D-T0809-10,10,T0809,T0809,wazuh_localfile_json,mosquitto,Unauthorized Command Message,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,e61ac062c176f3e9
2026-05-02T19:47:25Z,SCENARIO_D,D-T0814-10,10,T0814,T0814,wazuh_localfile_json,telemetry-api,Data Manipulation,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,feacbc5306dba28d
2026-05-02T19:47:32Z,SCENARIO_D,D-T0860-10,10,T0860,T0860,wazuh_localfile_json,vulnerable-app,Denial of Service,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,c7387581a9305946
2026-05-02T19:47:48Z,SCENARIO_D,D-T0809-11,11,T0809,T0809,wazuh_localfile_json,mosquitto,Unauthorized Command Message,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,67565edf9c10b4c2
2026-05-02T19:47:56Z,SCENARIO_D,D-T0814-11,11,T0814,T0814,wazuh_localfile_json,telemetry-api,Data Manipulation,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,5c8d95250e4f8e90
2026-05-02T19:48:03Z,SCENARIO_D,D-T0860-11,11,T0860,T0860,wazuh_localfile_json,vulnerable-app,Denial of Service,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,a8048b9e32cf4c37
2026-05-02T19:48:17Z,SCENARIO_D,D-T0809-12,12,T0809,T0809,wazuh_localfile_json,mosquitto,Unauthorized Command Message,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,06ea3ebc77dad990
2026-05-02T19:48:25Z,SCENARIO_D,D-T0814-12,12,T0814,T0814,wazuh_localfile_json,telemetry-api,Data Manipulation,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,8ea451789ff029fd
2026-05-02T19:48:33Z,SCENARIO_D,D-T0860-12,12,T0860,T0860,wazuh_localfile_json,vulnerable-app,Denial of Service,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,686744a6231082a4
2026-05-02T19:48:47Z,SCENARIO_D,D-T0809-13,13,T0809,T0809,wazuh_localfile_json,mosquitto,Unauthorized Command Message,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,6749d1784e00025e
2026-05-02T19:48:55Z,SCENARIO_D,D-T0814-13,13,T0814,T0814,wazuh_localfile_json,telemetry-api,Data Manipulation,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,f4511ce7d40a40a2
2026-05-02T19:49:02Z,SCENARIO_D,D-T0860-13,13,T0860,T0860,wazuh_localfile_json,vulnerable-app,Denial of Service,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,efdc70d6bc085081
